timeframe,signal_date,ticker,rank,regime,regime_score,quality_score,rs_percentile,rs_excess,rsi,vol_ratio,vol_z,atr_pct,setup,signal_close,entry_trigger,planned_stop,planned_target,planned_rr,turnover20,triggered,outcome,entry_date,entry_price,exit_date,exit_price,hold_sessions,gross_r,net_r,resolved_date,setup_base,score_bucket,rs_bucket
1hari,2025-08-14,DOOH.JK,2,BULLISH,5,75.0,83.7129840546697,0.2841419208295044,61.547552083997964,0.9301543153534123,0.21826558750951525,0.08241321572009173,Bullish Engulfing,158.0,158.0,138.0,198.0,2.0,40130639200.0,True,STOP,2025-08-15,159.0,2025-09-01,138.0,11.0,-1.0,-1.027785714285715,2025-09-01,Other,75-79,80-89
1hari,2025-08-15,BBHI.JK,1,BULLISH,5,75.0,95.8997722095672,0.9419077234394613,71.4346270490924,0.5836696747936367,-0.4946774916430461,0.05761625256127941,Hammer,1518.009521484375,1520.0,1385.0,1790.0,2.0,3873250393.19458,True,STOP,2025-08-19,1527.8667397763131,2025-08-29,1385.0,9.0,-1.0,-1.040277394995322,2025-08-29,Other,75-79,90+
1hari,2025-08-19,PACK.JK,1,BULLISH,5,100.0,93.84965831435079,0.8319291814230239,55.76362109555045,1.6496405024413143,1.1615304741476047,0.05894030956201875,Bullish Engulfing,4040.0,4040.0,3680.0,4760.0,2.0,16979005500.0,True,STOP_ENTRY_BAR,2025-08-20,4040.0,2025-08-20,3680.0,1.0,-1.0,-1.0423888888888895,2025-08-20,Other,85+,90+
1hari,2025-08-19,BUKA.JK,2,BULLISH,5,80.0,78.70159453302962,0.2150912979442734,81.62820170414088,1.9155902825778253,1.2599029626594573,0.04361061981867739,Bullish Engulfing,179.0,179.0,167.0,204.0,2.0833333333333335,52104854500.0,True,STOP,2025-08-20,179.0,2025-09-01,167.0,9.0,-1.0,-1.0571666666666673,2025-09-01,Other,80-84,70-79
1hari,2025-08-19,STRK.JK,3,BULLISH,5,75.0,93.73576309794989,0.8093625885500679,61.18210472983013,0.16321968082534236,-1.776921042588608,0.065353245638406,Hammer,128.0,128.0,115.0,154.0,2.0,9431677750.0,True,TARGET,2025-08-20,128.0,2025-08-22,154.0,3.0,2.0,1.9556153846153848,2025-08-22,Other,75-79,90+
1hari,2025-08-20,MMIX.JK,1,BULLISH,5,75.0,91.45785876993166,0.6386893633640931,69.05182972149522,0.4664168377149874,-0.659764054533636,0.053275409227552584,Hammer,131.0,131.0,120.0,153.0,2.0,2252580200.0,True,TARGET,2025-08-21,131.0,2025-09-08,153.0,12.0,2.0,1.9473636363636357,2025-09-08,Other,75-79,90+
1hari,2025-08-20,BKSL.JK,2,BULLISH,5,75.0,81.32118451025056,0.27315724447626955,58.24196140621457,0.8425316180470444,0.02934302250041836,0.07038598222409115,Bullish Pullback/Reclaim,156.0,156.0,139.0,190.0,2.0,126182552000.0,True,STOP,2025-08-21,158.0,2025-08-28,139.0,6.0,-1.0,-1.0307631578947378,2025-08-28,Pullback,75-79,80-89
1hari,2025-08-20,CUAN.JK,3,BULLISH,5,75.0,80.6378132118451,0.2635977461587413,58.446947230946265,0.824954920845335,-0.07029113792510192,0.05716150345312531,Bullish Pullback/Reclaim,1615.0,1615.0,1475.0,1895.0,2.0,353850499750.0,True,STOP_GAP,2025-08-21,1620.0,2025-09-01,1450.0,8.0,-1.1724137931034482,-1.2141724137931038,2025-09-01,Pullback,75-79,80-89
1hari,2025-08-21,AMMS.JK,1,BULLISH,5,90.0,95.55808656036446,1.1523814992862884,62.96415537370495,2.277644834560996,1.4695704952339346,0.08463550140676891,Bullish Pullback/Reclaim,158.0,158.0,137.0,200.0,2.0,1008779400.0,True,TARGET,2025-08-22,158.0,2025-09-08,200.0,11.0,2.0,1.9649047619047608,2025-09-08,Pullback,85+,90+
1hari,2025-08-21,BULL.JK,2,BULLISH,5,90.0,79.6127562642369,0.28120355442413314,58.209589905668544,1.2437705704488577,0.5658996768128312,0.06830568180661371,Bullish Pullback/Reclaim,158.0,158.0,141.0,192.0,2.0,32452303700.0,True,STOP,2025-08-22,160.0,2025-08-29,141.0,6.0,-1.0,-1.0311842105263158,2025-08-29,Pullback,85+,70-79
